target,AFM MSA(AFM),Block MSA(AFM),Templates(AFM),AFM MSA(AF3),Block MSA(AF3),Templates(AF3)
8cma:H_8cma:L_8cma:E,0.755,0.746,0.934,0.722,0.778,0.928
8bk2:H_8bk2:L_8bk2:A,0.833,0.897,0.921,0.899,0.898,0.915
8grr:H_8grr:L_8grr:2,0.779,0.58,0.896,0.745,0.592,0.874
8i3u:H_8i3u:L_8i3u:A,0.756,0.754,0.044,0.728,0.702,0.843
8so3:Y_8so3:Z_8so3:X,0.55,0.567,0.604,0.563,0.568,0.578
8x2l:H_8x2l:L_8x2l:B,0.844,0.821,0.94,0.878,0.911,0.923
8gsp:H_8gsp:L_8gsp:3,0.808,0.8,0.88,0.773,0.755,0.826
8gau:H_8gau:L_8gau:A,0.585,0.583,0.553,0.586,0.594,0.882
7y3o:H_7y3o:L_7y3o:A,0.827,0.819,0.963,0.86,0.868,0.934
8t9z:H_8t9z:L_8t9z:A,0.853,0.856,0.929,0.879,0.88,0.927
8hes:H_8hes:L_8hes:C,0.478,0.564,0.909,0.727,0.733,0.921
8go9:B_8go9:C_8go9:F,0.659,0.637,0.947,0.654,0.638,0.752
8gav:H_8gav:L_8gav:A,0.769,0.799,0.688,0.728,0.743,0.904
8jh7:H_8jh7:L_8jh7:D,0.643,0.623,0.921,0.548,0.551,0.823
8qpr:E_8qpr:D_8qpr:A,0.866,0.859,0.898,0.871,0.872,0.877
8cn9:B_8cn9:A_8cn9:D,0.786,0.813,0.91,0.558,0.566,0.854
8cn9:Q_8cn9:P_8cn9:R,0.798,0.673,0.96,0.559,0.559,0.924
8smi:H_8smi:L_8smi:A,0.66,0.684,0.522,0.663,0.623,0.71
8w86:E_8w86:F_8w86:G,0.567,0.563,0.979,0.558,0.568,0.969
8w86:E_8w86:F_8w86:H,0.569,0.57,0.977,0.581,0.608,0.973
8t05:C_8t05:D_8t05:A,0.797,0.823,0.943,0.817,0.819,0.93
8thn:A_8thn:B_8thn:C,0.814,0.794,0.966,0.908,0.912,0.971
8cbf:H_8cbf:L_8cbf:E,0.493,0.477,0.967,0.778,0.859,0.971
8tui:H_8tui:L_8tui:A,0.681,0.684,0.916,0.687,0.674,0.952
8ez3:H_8ez3:L_8ez3:A,0.771,0.76,0.015,0.803,0.816,0.927
8fxb:H_8fxb:L_8fxb:E,0.729,0.749,0.978,0.925,0.919,0.956
8g4o:H_8g4o:L_8g4o:A,0.905,0.854,0.857,0.933,0.93,0.943
8g5b:H_8g5b:L_8g5b:A,0.834,0.847,0.917,0.899,0.878,0.873
7yoy:E_7yoy:I_7yoy:C,0.837,0.839,0.874,0.851,0.852,0.839
8j1t:H_8j1t:K_8j1t:F,0.693,0.705,0.909,0.763,0.719,0.837
8ez7:H_8ez7:L_8ez7:A,0.799,0.798,0.016,0.806,0.859,0.955
7yoy:F_7yoy:J_7yoy:C,0.66,0.742,0.647,0.744,0.759,0.899
8jaf:H_8jaf:L_8jaf:A,0.76,0.769,0.836,0.752,0.742,0.744
8ez8:H_8ez8:L_8ez8:A,0.601,0.598,0.023,0.543,0.533,0.937
8j7t:F_8j7t:D_8j7t:B,0.893,0.862,0.954,0.888,0.886,0.924
8awm:H_8awm:L_8awm:A,0.697,0.717,0.921,0.435,0.433,0.913
8cbd:E_8cbd:F_8cbd:R,0.866,0.87,0.952,0.914,0.902,0.922
8g5b:J_8g5b:N_8g5b:A,0.759,0.754,0.981,0.789,0.781,0.927
7yp1:D_7yp1:G_7yp1:B,0.736,0.729,0.724,0.2,0.229,0.923
7yp1:D_7yp1:G_7yp1:A,0.732,0.73,0.76,0.704,0.665,0.915
8eqf:H_8eqf:L_8eqf:A,0.805,0.842,0.958,0.794,0.736,0.954
8gy5:H_8gy5:L_8gy5:P,0.929,0.936,0.964,0.95,0.945,0.971
8fgx:B_8fgx:A_8fgx:C,0.861,0.227,0.951,0.888,0.883,0.946
8c7m:C_8c7m:D_8c7m:B,0.863,0.867,0.908,0.857,0.855,0.908
8ucd:H_8ucd:L_8ucd:C,0.179,0.198,0.916,0.864,0.864,0.89
8f5i:X_8f5i:Y_8f5i:A,0.841,0.857,0.553,0.918,0.903,0.955
8hlb:D_8hlb:E_8hlb:A,0.791,0.785,0.852,0.818,0.498,0.817
8fhy:C_8fhy:B_8fhy:A,0.539,0.542,0.772,0.805,0.799,0.901
8j9k:D_8j9k:B_8j9k:C,0.714,0.712,0.896,0.762,0.767,0.886
8d4r:D_8d4r:E_8d4r:B,0.33,0.536,0.457,0.413,0.422,0.787
8hrx:H_8hrx:L_8hrx:B,0.553,0.22,0.895,0.567,0.56,0.863
8hrx:H_8hrx:L_8hrx:A,0.566,0.561,0.886,0.541,0.556,0.871
8ix3:H_8ix3:L_8ix3:G,0.612,0.607,0.908,0.832,0.878,0.9
8hry:H_8hry:L_8hry:B,0.563,0.249,0.923,0.874,0.887,0.897
8hry:H_8hry:L_8hry:A,0.59,0.591,0.926,0.837,0.869,0.901
8k5g:H_8k5g:L_8k5g:A,0.831,0.874,0.918,0.91,0.903,0.906
8wsq:A_8wsq:B_8wsq:F,0.653,0.674,0.951,0.759,0.749,0.967
8pq2:H_8pq2:L_8pq2:C,0.831,0.842,0.019,0.76,0.54,0.887
8tp6:C_8tp6:D_8tp6:B,0.88,0.896,0.892,0.895,0.898,0.924
8f2j:H_8f2j:L_8f2j:E,0.765,0.786,0.932,0.521,0.6,0.949
8x0t:H_8x0t:L_8x0t:A,0.779,0.792,0.964,0.766,0.784,0.923
8tfn:H_8tfn:L_8tfn:B,0.74,0.734,0.772,0.738,0.735,0.751
8u4v:H_8u4v:L_8u4v:A,0.585,0.597,0.911,0.555,0.61,0.908
8szy:A_8szy:B_8szy:T,0.887,0.867,0.627,0.859,0.851,0.958
8tm1:H_8tm1:L_8tm1:A,0.851,0.868,0.381,0.849,0.912,0.919
8tma:H_8tma:L_8tma:A,0.87,0.87,0.028,0.861,0.899,0.926
8w84:A_8w84:B_8w84:D,0.683,0.668,0.941,0.685,0.672,0.918
8w84:A_8w84:B_8w84:C,0.683,0.678,0.936,0.67,0.671,0.925
8gye:E_8gye:F_8gye:A,0.846,0.901,0.965,0.909,0.91,0.969
8szy:H_8szy:L_8szy:T,0.527,0.53,0.033,0.514,0.51,0.948
8f38:D_8f38:G_8f38:B,0.82,0.813,0.962,0.844,0.92,0.959
8g5a:H_8g5a:L_8g5a:A,0.73,0.713,0.823,0.726,0.736,0.746
8g5b:I_8g5b:M_8g5b:A,0.799,0.774,0.79,0.803,0.807,0.835
