target,Original(Templates),Interface(Templates),Non-Interface(Templates),Original(MSA),Interface(MSA),Non-Interface(MSA)
7VA2:A_7VA2:B,0.889,0.367,0.861,0.876,0.692,0.846
8IOA:A_8IOA:B,0.935,0.702,0.897,0.782,0.624,0.785
8GRT:A_8GRT:B,0.853,0.334,0.022,0.87,0.06,0.851
7X4B:A_7X4B:B,0.536,0.017,0.034,0.246,0.016,0.149
8FIR:A_8FIR:B,0.923,0.226,0.885,0.811,0.257,0.803
9JPL:A_9JPL:B,0.906,0.079,0.897,0.547,0.013,0.639
8Q5N:A_8Q5N:B,0.252,0.049,0.243,0.462,0.031,0.199
9F47:A_9F47:B,0.873,0.353,0.039,0.693,0.086,0.53
8QST:A_8QST:B,0.558,0.512,0.008,0.461,0.394,0.485
8U0K:A_8U0K:B,0.943,0.225,0.939,0.931,0.075,0.89
7EPQ:A_7EPQ:B,0.938,0.186,0.913,0.579,0.149,0.498
8R2R:A_8R2R:B,0.904,0.055,0.005,0.574,0.085,0.568
8E8W:A_8E8W:B,0.939,0.023,0.878,0.88,0.579,0.872
8HKR:A_8HKR:B,0.943,0.528,0.938,0.867,0.018,0.827
8E7Q:A_8E7Q:B,0.934,0.886,0.923,0.935,0.765,0.889
7YWG:A_7YWG:B,0.026,0.374,0.026,0.855,0.028,0.031
7RMN:A_7RMN:B,0.96,0.769,0.936,0.888,0.536,0.865
8P4G:A_8P4G:B,0.949,0.104,0.929,0.01,0.01,0.664
9INK:A_9INK:B,0.038,0.004,0.041,0.837,0.027,0.88
8GYG:A_8GYG:B,0.967,0.179,0.94,0.885,0.608,0.871
8VF6:A_8VF6:B,0.832,0.355,0.808,0.019,0.072,0.013
8IMW:A_8IMW:B,0.71,0.218,0.011,0.682,0.012,0.676
8EQZ:A_8EQZ:B,0.913,0.005,0.895,0.526,0.004,0.475
8RXO:A_8RXO:B,0.865,0.364,0.865,0.065,0.04,0.045
7KHM:A_7KHM:B,0.057,0.088,0.013,0.008,0.008,0.158
8GUM:A_8GUM:B,0.011,0.08,0.011,0.537,0.41,0.5
7EJ3:A_7EJ3:B,0.966,0.932,0.952,0.939,0.786,0.91
8TXL:A_8TXL:B,0.495,0.425,0.409,0.416,0.023,0.4
8AM3:AAA_8AM3:BBB,0.93,0.02,0.899,0.887,0.009,0.864
8H7C:A_8H7C:B,0.03,0.886,0.928,0.072,0.135,0.132
7MX6:AAA_7MX6:BBB,0.953,0.029,0.94,0.924,0.521,0.876
8J2L:A_8J2L:B,0.78,0.111,0.815,0.83,0.16,0.835
7FDD:A_7FDD:B,0.917,0.546,0.231,0.479,0.007,0.444
8B5E:A_8B5E:B,0.128,0.444,0.01,0.008,0.099,0.013
8HZ5:A_8HZ5:B,0.005,0.005,0.005,0.891,0.344,0.799
7Y62:A_7Y62:B,0.795,0.477,0.669,0.608,0.279,0.642
7PR2:A_7PR2:B,0.012,0.062,0.013,0.013,0.112,0.011
7RBP:A_7RBP:B,0.955,0.935,0.935,0.791,0.734,0.797
8BRY:A_8BRY:B,0.846,0.275,0.833,0.919,0.421,0.885
8UZD:A_8UZD:B,0.891,0.005,0.873,0.84,0.833,0.706
8Z5C:A_8Z5C:B,0.915,0.755,0.911,0.912,0.588,0.874
7WGR:A_7WGR:B,0.881,0.711,0.869,0.672,0.569,0.647
7EYU:A_7EYU:B,0.858,0.676,0.032,0.794,0.462,0.76
8IMU:A_8IMU:B,0.973,0.206,0.952,0.733,0.515,0.788
8WMY:A_8WMY:B,0.973,,0.96,0.943,,0.938
8JML:A_8JML:B,0.029,0.043,0.028,0.813,0.075,0.167
7Y3W:A_7Y3W:B,0.131,0.028,0.923,0.769,0.22,0.535
8KE7:A_8KE7:B,0.837,0.214,0.743,0.776,0.389,0.765
8IOI:A_8IOI:B,0.863,0.51,0.83,0.658,0.309,0.686
7W0W:A_7W0W:B,0.007,0.746,0.007,0.555,0.06,0.309
7ZM5:A_7ZM5:B,0.929,0.311,0.915,0.802,0.12,0.28
8VCK:A_8VCK:B,0.903,0.456,0.906,0.602,0.208,0.504
8J2W:A_8J2W:B,0.912,0.746,0.865,0.76,0.55,0.644
7UX6:A_7UX6:B,0.924,0.783,0.9,0.649,0.467,0.636
7WAA:A_7WAA:B,0.007,,0.007,0.007,,0.008
8ES5:A_8ES5:B,0.925,0.731,0.907,0.893,0.233,0.874
8GAD:A_8GAD:B,0.874,0.145,0.899,0.773,0.111,0.24
7UXR:A_7UXR:B,0.121,0.183,0.112,0.891,0.028,0.799
7XRH:A_7XRH:B,0.962,0.408,0.951,0.944,0.352,0.904
7TA9:A_7TA9:B,0.029,0.059,0.907,0.819,0.606,0.764
8E7C:A_8E7C:B,0.025,0.025,0.039,0.679,0.621,0.041
8A6X:A_8A6X:B,0.731,0.598,0.725,0.176,0.056,0.184
8K7P:A_8K7P:B,0.018,0.244,0.021,0.018,0.018,0.031
7ZPN:A_7ZPN:B,0.917,0.371,0.903,0.139,0.067,0.135
8D3E:A_8D3E:B,0.004,0.004,0.003,0.927,0.613,0.886
8OO2:A_8OO2:B,0.765,0.712,0.804,0.647,0.36,0.511
7XWG:A_7XWG:B,0.093,0.077,0.025,0.019,0.074,0.022
8GY8:A_8GY8:B,0.807,0.29,0.744,0.031,0.014,0.068
7ZRN:A_7ZRN:B,0.959,0.08,0.946,0.92,0.007,0.907
8BIC:A_8BIC:B,0.831,0.115,0.8,0.68,0.553,0.654
8R2H:A_8R2H:B,0.935,0.013,0.91,0.175,0.585,0.17
