target,AFM MSA(AFM),Block MSA(AFM),Templates(AFM),AFM MSA(AF3),Block MSA(AF3),Templates(AF3)
8cma:H_8cma:L_8cma:E,0.042,0.044,0.034,0.045,0.025,0.947
8bk2:H_8bk2:L_8bk2:A,0.876,0.839,0.008,0.842,0.859,0.925
8grr:H_8grr:L_8grr:2,0.05,0.025,0.025,0.055,0.053,0.053
8i3u:H_8i3u:L_8i3u:A,0.402,0.568,0.061,0.391,0.383,0.859
8so3:Y_8so3:Z_8so3:X,0.026,0.034,0.543,0.405,0.364,0.018
8x2l:H_8x2l:L_8x2l:B,0.002,0.086,0.911,0.002,0.706,0.896
8gsp:H_8gsp:L_8gsp:3,0.068,0.07,0.029,0.331,0.286,0.023
8gau:H_8gau:L_8gau:A,0.006,0.007,0.006,0.007,0.007,0.007
7y3o:H_7y3o:L_7y3o:A,0.03,0.029,0.024,0.03,0.034,0.042
8t9z:H_8t9z:L_8t9z:A,0.013,0.01,0.934,0.018,0.035,0.623
8hes:H_8hes:L_8hes:C,0.018,0.021,0.92,0.072,0.053,0.943
8go9:B_8go9:C_8go9:F,0.048,0.014,0.025,0.013,0.013,0.013
8gav:H_8gav:L_8gav:A,0.008,0.008,0.006,0.03,0.027,0.007
8jh7:H_8jh7:L_8jh7:D,0.01,0.023,0.004,0.007,0.008,0.013
8qpr:E_8qpr:D_8qpr:A,0.499,0.008,0.007,0.461,0.424,0.827
8cn9:B_8cn9:A_8cn9:D,0.017,0.014,0.017,0.021,0.019,0.003
8cn9:Q_8cn9:P_8cn9:R,0.032,0.034,0.499,0.029,0.029,0.39
8smi:H_8smi:L_8smi:A,0.079,0.042,0.134,0.101,0.036,0.683
8w86:E_8w86:F_8w86:G,0.052,0.03,0.937,0.025,0.025,0.891
8w86:E_8w86:F_8w86:H,0.063,0.051,0.144,0.022,0.012,0.009
8t05:C_8t05:D_8t05:A,0.049,0.068,0.016,0.026,0.019,0.032
8thn:A_8thn:B_8thn:C,0.683,0.704,0.948,0.899,0.872,0.962
8cbf:H_8cbf:L_8cbf:E,0.049,0.038,0.96,0.04,0.682,0.97
8tui:H_8tui:L_8tui:A,0.065,0.142,0.054,0.077,0.115,0.83
8ez3:H_8ez3:L_8ez3:A,0.053,0.057,0.006,0.067,0.062,0.945
8fxb:H_8fxb:L_8fxb:E,0.024,0.024,0.03,0.028,0.028,0.89
8g4o:H_8g4o:L_8g4o:A,0.924,0.884,0.022,0.93,0.905,0.958
8g5b:H_8g5b:L_8g5b:A,0.014,0.013,0.008,0.801,0.497,0.009
7yoy:E_7yoy:I_7yoy:C,0.769,0.518,0.062,0.786,0.788,0.792
8j1t:H_8j1t:K_8j1t:F,0.117,0.045,0.379,0.702,0.686,0.061
8ez7:H_8ez7:L_8ez7:A,0.025,0.02,0.006,0.388,0.781,0.922
7yoy:F_7yoy:J_7yoy:C,0.152,0.618,0.008,0.061,0.667,0.77
8jaf:H_8jaf:L_8jaf:A,0.041,0.069,0.821,0.012,0.011,0.014
8ez8:H_8ez8:L_8ez8:A,0.01,0.01,0.006,0.012,0.012,0.888
8j7t:F_8j7t:D_8j7t:B,0.133,0.043,0.031,0.16,0.154,0.952
8awm:H_8awm:L_8awm:A,0.167,0.19,0.019,0.02,0.029,0.02
8cbd:E_8cbd:F_8cbd:R,0.017,0.026,0.026,0.704,0.583,0.771
8g5b:J_8g5b:N_8g5b:A,0.034,0.036,0.976,0.038,0.037,0.971
7yp1:D_7yp1:G_7yp1:B,0.088,0.1,0.009,0.076,0.079,0.01
7yp1:D_7yp1:G_7yp1:A,0.025,0.028,0.006,0.042,0.024,0.017
8eqf:H_8eqf:L_8eqf:A,0.637,0.415,0.908,0.372,0.48,0.928
8gy5:H_8gy5:L_8gy5:P,0.496,0.06,0.923,0.593,0.674,0.712
8fgx:B_8fgx:A_8fgx:C,0.033,0.044,0.04,0.037,0.04,0.147
8c7m:C_8c7m:D_8c7m:B,0.465,0.394,0.948,0.029,0.029,0.87
8ucd:H_8ucd:L_8ucd:C,0.004,0.004,0.004,0.598,0.626,0.746
8f5i:X_8f5i:Y_8f5i:A,0.432,0.571,0.124,0.584,0.6,0.962
8hlb:D_8hlb:E_8hlb:A,0.026,0.025,0.019,0.688,0.531,0.019
8fhy:C_8fhy:B_8fhy:A,0.485,0.494,0.906,0.786,0.783,0.941
8j9k:D_8j9k:B_8j9k:C,0.008,0.012,0.363,0.009,0.607,0.064
8d4r:D_8d4r:E_8d4r:B,0.023,0.02,0.027,0.041,0.035,0.008
8hrx:H_8hrx:L_8hrx:B,0.039,0.032,0.098,0.068,0.145,0.123
8hrx:H_8hrx:L_8hrx:A,0.063,0.035,0.019,0.044,0.092,0.101
8ix3:H_8ix3:L_8ix3:G,0.039,0.036,0.034,0.03,0.056,0.034
8hry:H_8hry:L_8hry:B,0.076,0.064,0.07,0.278,0.206,0.828
8hry:H_8hry:L_8hry:A,0.107,0.027,0.022,0.104,0.036,0.034
8k5g:H_8k5g:L_8k5g:A,0.053,0.042,0.894,0.244,0.268,0.864
8wsq:A_8wsq:B_8wsq:F,0.042,0.014,0.947,0.01,0.033,0.921
8pq2:H_8pq2:L_8pq2:C,0.049,0.007,0.023,0.058,0.044,0.059
8tp6:C_8tp6:D_8tp6:B,0.845,0.823,0.026,0.757,0.766,0.921
8f2j:H_8f2j:L_8f2j:E,0.028,0.03,0.033,0.028,0.037,0.948
8x0t:H_8x0t:L_8x0t:A,0.119,0.06,0.94,0.073,0.073,0.936
8tfn:H_8tfn:L_8tfn:B,0.063,0.06,0.019,0.046,0.045,0.034
8u4v:H_8u4v:L_8u4v:A,0.083,0.088,0.026,0.032,0.027,0.933
8szy:A_8szy:B_8szy:T,0.032,0.034,0.03,0.889,0.871,0.93
8tm1:H_8tm1:L_8tm1:A,0.017,0.015,0.017,0.01,0.868,0.052
8tma:H_8tma:L_8tma:A,0.017,0.015,0.01,0.01,0.83,0.05
8w84:A_8w84:B_8w84:D,0.068,0.085,0.107,0.013,0.021,0.013
8w84:A_8w84:B_8w84:C,0.175,0.123,0.186,0.043,0.045,0.099
8gye:E_8gye:F_8gye:A,0.024,0.01,0.011,0.695,0.749,0.886
8szy:H_8szy:L_8szy:T,0.047,0.043,0.019,0.452,0.461,0.939
8f38:D_8f38:G_8f38:B,0.009,0.009,0.966,0.704,0.043,0.926
8g5a:H_8g5a:L_8g5a:A,0.698,0.044,0.006,0.728,0.68,0.026
8g5b:I_8g5b:M_8g5b:A,0.844,0.057,0.017,0.846,0.848,0.021
8cbf:A_8cbf:B_8cbf:E,0.024,0.013,0.019,0.595,0.642,0.746
8jlx:H_8jlx:L_8jlx:A,0.03,0.034,0.854,0.019,0.157,0.881
8hrd:L_8hrd:M_8hrd:K,0.018,0.018,0.018,0.023,0.024,0.916
8g6u:C_8g6u:D_8g6u:B,0.049,0.076,0.021,0.046,0.078,0.007
8cii:H_8cii:L_8cii:E,0.028,0.021,0.167,0.035,0.077,0.033
8hpf:M_8hpf:N_8hpf:A,0.063,0.059,0.118,0.406,0.027,0.786
8wdt:C_8wdt:B_8wdt:A,0.047,0.052,0.865,0.031,0.024,0.61
8hpu:H_8hpu:L_8hpu:A,0.055,0.057,0.047,0.845,0.826,0.016
8w85:E_8w85:F_8w85:G,0.042,0.029,0.041,0.028,0.025,0.803
8w85:E_8w85:F_8w85:H,0.099,0.092,0.035,0.031,0.014,0.08
8hgm:C_8hgm:D_8hgm:B,0.794,0.116,0.918,0.56,0.772,0.899
8tpa:H_8tpa:L_8tpa:A,0.008,0.009,0.007,0.006,0.006,0.938
8tpa:H_8tpa:L_8tpa:B,0.011,0.012,0.017,0.009,0.01,0.017
8tp9:D_8tp9:F_8tp9:B,0.009,0.01,0.136,0.006,0.009,0.007
8t04:E_8t04:F_8t04:B,0.019,0.018,0.019,0.045,0.81,0.926
7yp2:H_7yp2:L_7yp2:A,0.682,0.701,0.009,0.802,0.791,0.861
8ttw:M_8ttw:N_8ttw:A,0.007,0.008,0.008,0.009,0.007,0.004
8hlb:B_8hlb:C_8hlb:A,0.017,0.024,0.039,0.066,0.036,0.014
8gsb:H_8gsb:K_8gsb:A,0.096,0.182,0.005,0.216,0.273,0.812
8jen:G_8jen:H_8jen:P,0.063,0.069,0.959,0.899,0.891,0.969
8aci:H_8aci:L_8aci:A,0.727,0.738,0.959,0.734,0.663,0.042
8tp2:H_8tp2:L_8tp2:C,0.148,0.41,0.01,0.112,0.644,0.899
8tp3:H_8tp3:L_8tp3:C,0.222,0.128,0.006,0.059,0.023,0.604
8g4p:C_8g4p:D_8g4p:E,0.462,0.457,0.397,0.515,0.393,0.053
8g4p:A_8g4p:B_8g4p:E,0.22,0.087,0.057,0.314,0.06,0.083
8w85:A_8w85:B_8w85:C,0.039,0.044,0.045,0.026,0.027,0.876
8w85:A_8w85:B_8w85:D,0.103,0.014,0.033,0.03,0.046,0.067
8jnk:I_8jnk:M_8jnk:A,0.111,0.061,0.949,0.072,0.077,0.053
8hrd:Y_8hrd:Z_8hrd:T,0.018,0.02,0.937,0.865,0.733,0.934
8bg8:H_8bg8:L_8bg8:A,0.704,0.085,0.007,0.806,0.781,0.011
8edf:H_8edf:L_8edf:A,0.019,0.039,0.1,0.013,0.02,0.775
8ekd:E_8ekd:F_8ekd:G,0.127,0.078,0.037,0.052,0.088,0.062
8cbe:H_8cbe:L_8cbe:E,0.039,0.086,0.948,0.875,0.851,0.872
8jlw:H_8jlw:L_8jlw:A,0.015,0.015,0.144,0.049,0.047,0.175
8bw0:H_8bw0:L_8bw0:C,0.851,0.043,0.026,0.836,0.034,0.856
8hws:D_8hws:E_8hws:A,0.023,0.024,0.032,0.689,0.71,0.919
8oxx:B_8oxx:C_8oxx:A,0.005,0.005,0.005,0.095,0.205,0.966
8t7a:D_8t7a:E_8t7a:a,0.007,0.009,0.007,0.04,0.015,0.936
8st1:G_8st1:F_8st1:C,0.01,0.008,0.013,0.742,0.671,0.806
8st1:G_8st1:F_8st1:B,0.019,0.019,0.01,0.009,0.008,0.006
8ttw:G_8ttw:H_8ttw:F,0.053,0.024,0.024,0.035,0.045,0.031
8cii:A_8cii:B_8cii:E,0.056,0.06,0.032,0.026,0.042,0.039
8ipc:H_8ipc:L_8ipc:A,0.332,0.335,0.33,0.303,0.335,0.936
8qot:H_8qot:L_8qot:A,0.014,0.008,0.042,0.014,0.014,0.027
8r8d:E_8r8d:I_8r8d:B,0.173,0.296,0.052,0.228,0.209,0.915
8w86:A_8w86:B_8w86:C,0.091,0.056,0.936,0.028,0.029,0.953
8w86:A_8w86:B_8w86:D,0.068,0.03,0.147,0.034,0.043,0.068
8gje:H_8gje:L_8gje:A,0.296,0.064,0.005,0.701,0.728,0.893
8b7h:H_8b7h:L_8b7h:A,0.573,0.602,0.774,0.642,0.804,0.763
8tp4:H_8tp4:L_8tp4:C,0.393,0.351,0.007,0.344,0.305,0.003
8tp5:E_8tp5:F_8tp5:C,0.057,0.061,0.006,0.047,0.008,0.897
