target,Block MSA+temeplates(AFM),Block MSA+temeplates(AF3)
7MRS:A_7MRS:B,0.946,0.903
7VMX:A_7VMX:B,0.833,0.884
8B8V:A_8B8V:B,0.879,0.897
8C4Z:A_8C4Z:B,0.912,0.926
8F2Z:A_8F2Z:B,0.853,0.893
7ZRY:A_7ZRY:B,0.911,0.863
8G0P:A_8G0P:B,0.628,0.664
8J64:A_8J64:B,0.814,0.25
8QEL:A_8QEL:B,0.815,0.643
8ROJ:A_8ROJ:B,0.603,0.718
8X6B:B_8X6B:A,0.955,0.955
9BIY:A_9BIY:B,0.85,0.827
8GSU:A_8GSU:B,0.967,0.963
8JO3:A_8JO3:B,0.946,0.936
8BJH:A_8BJH:B,0.758,0.683
8C47:B_8C47:A,0.872,0.966
8QF4:E_8QF4:A,0.885,0.941
8S1X:A_8S1X:B,0.328,0.318
8ZPW:A_8ZPW:B,0.909,0.902
9BK5:A_9BK5:B,0.787,0.774
9DK1:A_9DK1:B,0.777,0.861
7PH1:E_7PH1:I,0.968,0.982
8EPC:A_8EPC:B,0.938,0.938
7QGS:B_7QGS:A,0.763,0.762
7U9W:A_7U9W:H,0.041,0.548
7XVO:A_7XVO:D,0.897,0.875
7YMF:A_7YMF:B,0.007,0.01
8A4A:A_8A4A:B,0.573,0.067
8BRQ:A_8BRQ:B,0.704,0.723
8FO6:A_8FO6:B,0.791,0.818
8H0N:A_8H0N:B,0.717,0.755
8HHJ:A_8HHJ:B,0.747,0.819
8JCA:A_8JCA:B,0.753,0.703
8PDC:B_8PDC:A,0.731,0.712
8PPZ:A_8PPZ:B,0.118,0.187
8POD:A_8POD:B,0.588,0.936
7U0U:A_7U0U:B,0.047,0.146
8C3K:A_8C3K:B,0.92,0.894
8DSO:B_8DSO:D,0.065,0.064
8E51:C_8E51:B,0.01,0.87
8EMZ:A_8EMZ:B,0.928,0.961
8GQE:A_8GQE:B,0.918,0.918
8HB0:A_8HB0:B,0.934,0.929
8J1I:8_8J1I:H,0.407,0.919
8OOT:I_8OOT:J,0.821,0.821
8QC1:M_8QC1:L,0.966,0.968
8SM0:C_8SM0:G,0.773,0.814
7E50:A_7E50:B,0.931,0.844
7WR6:A_7WR6:B,0.046,0.012
7YCO:A_7YCO:B,0.819,0.022
7ZHR:A_7ZHR:B,0.008,0.01
8EZS:A_8EZS:B,0.71,0.689
5ST0:A_5ST0:B,0.946,0.963
7PJH:A_7PJH:B,0.92,0.863
7EGS:A_7EGS:B,0.875,0.899
7FGM:A_7FGM:B,0.132,0.859
7QAA:A_7QAA:B,0.904,0.93
