target,Full-Chain(ab),Interface(ab),Non-interface(ab),Full-Chain(ag),Interface(ag),Non-interface(ag)
8cma:H_8cma:L_8cma:E,0.8261,0.7612,0.843,0.9518,0.8794,0.9431
8bk2:H_8bk2:L_8bk2:A,0.9913,0.9734,0.9909,0.9,0.9669,0.8324
8grr:H_8grr:L_8grr:2,0.9329,0.436,0.9698,0.9445,0.7326,0.9313
8i3u:H_8i3u:L_8i3u:A,0.9634,0.7448,0.9739,0.9514,0.7745,0.969
8so3:Y_8so3:Z_8so3:X,0.5685,0.8493,0.5496,0.8695,0.2462,0.8757
8x2l:H_8x2l:L_8x2l:B,0.9928,0.9482,0.9903,0.8819,0.9067,0.8841
8gsp:H_8gsp:L_8gsp:3,0.9665,0.6495,0.9808,0.7863,0.5956,0.7353
8gau:H_8gau:L_8gau:A,0.9186,0.534,0.9389,0.9512,0.8801,0.9395
7y3o:H_7y3o:L_7y3o:A,0.9881,0.8703,0.9878,0.9656,0.8536,0.9511
8t9z:H_8t9z:L_8t9z:A,0.9905,0.8499,0.9914,0.4387,0.3922,0.467
8hes:H_8hes:L_8hes:C,0.9766,0.3044,0.9854,0.9322,0.738,0.9424
8go9:B_8go9:C_8go9:F,0.834,0.3881,0.7928,0.8716,0.5346,0.8503
8gav:H_8gav:L_8gav:A,0.96,0.6817,0.9674,0.9517,0.8992,0.9423
8jh7:H_8jh7:L_8jh7:D,0.7816,0.704,0.7871,0.7772,0.513,0.8611
8qpr:E_8qpr:D_8qpr:A,0.9707,0.9008,0.9621,0.4815,0.5678,0.5264
8cn9:B_8cn9:A_8cn9:D,0.8246,0.7308,0.8329,0.5532,0.4592,0.7048
8cn9:Q_8cn9:P_8cn9:R,0.7936,0.5293,0.806,0.9836,0.7692,0.9801
8smi:H_8smi:L_8smi:A,0.7997,0.5953,0.8078,0.9719,0.8953,0.9652
8w86:E_8w86:F_8w86:G,0.9454,0.6353,0.9636,0.6408,0.4654,0.7516
8w86:E_8w86:F_8w86:H,0.9621,0.6767,0.9757,0.5113,0.2138,0.6053
8t05:C_8t05:D_8t05:A,0.9784,0.7965,0.9837,0.9636,0.2963,0.9785
8thn:A_8thn:B_8thn:C,0.9902,0.9316,0.9899,0.9183,0.8351,0.8953
8cbf:H_8cbf:L_8cbf:E,0.9871,0.882,0.986,0.9275,0.8356,0.9154
8tui:H_8tui:L_8tui:A,0.965,0.3321,0.9851,0.9459,0.815,0.9336
8ez3:H_8ez3:L_8ez3:A,0.9849,0.7908,0.9834,0.9923,0.9299,0.9905
8fxb:H_8fxb:L_8fxb:E,0.9856,0.6571,0.9849,0.9394,0.8007,0.9141
8g4o:H_8g4o:L_8g4o:A,0.9879,0.905,0.9815,0.9759,0.853,0.9688
8g5b:H_8g5b:L_8g5b:A,0.8311,0.8599,0.8836,0.9661,0.8537,0.9617
7yoy:E_7yoy:I_7yoy:C,0.9677,0.7218,0.9583,0.9536,0.7937,0.9247
8j1t:H_8j1t:K_8j1t:F,0.9582,0.8159,0.9544,0.9453,0.8254,0.9406
8ez7:H_8ez7:L_8ez7:A,0.9829,0.85,0.9881,0.9755,0.9636,0.9696
7yoy:F_7yoy:J_7yoy:C,0.9625,0.6833,0.9696,0.941,0.5659,0.9414
8jaf:H_8jaf:L_8jaf:A,0.9542,0.3988,0.8367,0.941,0.1558,0.9443
8ez8:H_8ez8:L_8ez8:A,0.9508,0.6814,0.986,0.9689,0.9489,0.9605
8j7t:F_8j7t:D_8j7t:B,0.9908,0.8966,0.9914,0.9489,0.9163,0.9429
8awm:H_8awm:L_8awm:A,0.6431,0.7364,0.6651,0.9614,0.6214,0.9614
8cbd:E_8cbd:F_8cbd:R,0.991,0.9603,0.9891,0.9198,0.7869,0.9022
8g5b:J_8g5b:N_8g5b:A,0.9778,0.6968,0.8039,0.9878,0.8842,0.984
7yp1:D_7yp1:G_7yp1:B,0.8862,0.5497,0.753,0.5449,0.4086,0.3506
7yp1:D_7yp1:G_7yp1:A,0.9546,0.6258,0.7976,0.5085,0.1869,0.5053
8eqf:H_8eqf:L_8eqf:A,0.9726,0.6911,0.9896,0.9415,0.7906,0.9242
8gy5:H_8gy5:L_8gy5:P,0.8308,0.8868,0.8435,0.9249,0.5682,0.9364
8fgx:B_8fgx:A_8fgx:C,0.9915,0.9047,0.9932,0.9679,0.8581,0.978
8c7m:C_8c7m:D_8c7m:B,0.9833,0.9387,0.9834,0.9205,0.7901,0.9003
8ucd:H_8ucd:L_8ucd:C,0.9703,0.7836,0.9622,0.9639,0.6578,0.9659
8f5i:X_8f5i:Y_8f5i:A,0.8374,0.831,0.8434,0.954,0.6821,0.9215
8hlb:D_8hlb:E_8hlb:A,0.7294,0.8114,0.7417,0.8786,0.4182,0.9111
8fhy:C_8fhy:B_8fhy:A,0.9655,0.9601,0.9595,0.9659,0.9308,0.9671
8j9k:D_8j9k:B_8j9k:C,0.9739,0.2674,0.8064,0.8748,0.7886,0.8622
8d4r:D_8d4r:E_8d4r:B,0.9088,0.6529,0.8996,0.545,0.5019,0.534
8hrx:H_8hrx:L_8hrx:B,0.7561,0.7818,0.763,0.2312,0.253,0.196
8hrx:H_8hrx:L_8hrx:A,0.7549,0.7529,0.7619,0.9737,0.337,0.9749
8ix3:H_8ix3:L_8ix3:G,0.9842,0.6728,0.9808,0.9113,0.1751,0.8961
8hry:H_8hry:L_8hry:B,0.9899,0.8445,0.9892,0.3321,0.232,0.1845
8hry:H_8hry:L_8hry:A,0.9843,0.5104,0.9851,0.8004,0.9803,0.8084
8k5g:H_8k5g:L_8k5g:A,0.9814,0.9227,0.9737,0.9254,0.6142,0.9307
8wsq:A_8wsq:B_8wsq:F,0.758,0.769,0.8239,0.2503,0.2384,0.2767
8pq2:H_8pq2:L_8pq2:C,0.9072,0.5677,0.9337,0.955,0.7298,0.9469
8tp6:C_8tp6:D_8tp6:B,0.9809,0.6958,0.9732,0.7962,0.9391,0.7735
8f2j:H_8f2j:L_8f2j:E,0.7824,0.6941,0.8054,0.9299,0.8265,0.9029
8x0t:H_8x0t:L_8x0t:A,0.9744,0.4124,0.9791,0.9347,0.5074,0.9165
8tfn:H_8tfn:L_8tfn:B,0.9795,0.8351,0.9785,0.9748,0.7285,0.9726
8u4v:H_8u4v:L_8u4v:A,0.851,0.3239,0.8561,0.9135,0.5759,0.9388
