target,Block(AFM),AFMPair(AFM),RandomPair(AFM),Block(AF3),AFMPair(AF3),RandomPair(AF3)
7MRS:A_7MRS:B,0.889,0.89,0.895,0.859,0.853,0.868
8B8V:A_8B8V:B,0.833,0.669,0.8,0.865,0.865,0.875
8G0P:A_8G0P:B,0.622,0.639,0.635,0.626,0.626,0.679
8J64:A_8J64:B,0.724,0.73,0.728,0.827,0.827,0.042
9BIY:A_9BIY:B,0.84,0.809,0.791,0.809,0.802,0.81
8ZPW:A_8ZPW:B,0.793,0.797,0.765,0.812,0.829,0.834
9DK1:A_9DK1:B,0.727,0.738,0.721,0.771,0.767,0.775
7XVO:A_7XVO:D,0.035,0.04,0.037,0.862,0.862,0.86
8FO6:A_8FO6:B,0.668,0.607,0.526,0.541,0.606,0.524
8HHJ:A_8HHJ:B,0.718,0.718,0.737,0.717,0.825,0.707
8HB0:A_8HB0:B,0.939,0.934,0.951,0.91,0.909,0.943
8SM0:C_8SM0:G,0.67,0.67,0.609,0.777,0.258,0.798
7YCO:A_7YCO:B,0.026,0.026,0.025,0.022,0.018,0.018
7ZHR:A_7ZHR:B,0.01,0.013,0.01,0.009,0.009,0.008
8SNL:A_8SNL:B,0.703,0.73,0.697,0.727,0.727,0.72
7WRS:A_7WRS:B,0.667,0.676,0.64,0.656,0.659,0.681
8ALK:A_8ALK:B,0.055,0.059,0.057,0.056,0.116,0.057
8ST8:A_8ST8:B,0.478,0.454,0.49,0.332,0.29,0.416
8HTC:A_8HTC:B,0.051,0.018,0.016,0.485,0.485,0.072
8IPJ:A_8IPJ:B,0.332,0.323,0.334,0.139,0.266,0.441
8SNN:A_8SNN:B,0.772,0.831,0.819,0.834,0.842,0.845
6ZH1:A_6ZH1:B,0.769,0.769,0.761,0.767,0.767,0.822
7UCC:F_7UCC:J,0.676,0.675,0.61,0.503,0.496,0.487
7XYQ:A_7XYQ:B,0.435,0.436,0.436,0.733,0.733,0.642
8H1I:A_8H1I:B,0.015,0.131,0.108,0.089,0.087,0.036
8PU1:A_8PU1:B,0.906,0.914,0.907,0.89,0.892,0.906
7YTU:A_7YTU:B,0.761,0.751,0.758,0.75,0.753,0.748
8BE2:S_8BE2:N,0.11,0.105,0.123,0.807,0.688,0.674
8B3S:A_8B3S:Z,0.011,0.011,0.011,0.011,0.013,0.014
8GUO:A_8GUO:B,0.185,0.187,0.187,0.198,0.196,0.196
8SIU:A_8SIU:B,0.917,0.922,0.446,0.925,0.439,0.436
9ERW:E_9ERW:B,0.012,0.012,0.012,0.007,0.006,0.006
9ERT:A_9ERT:B,0.013,0.013,0.021,0.007,0.007,0.015
7YCJ:A_7YCJ:B,0.32,0.32,0.651,0.29,0.29,0.29
8AKO:A_8AKO:B,0.791,0.803,0.785,0.745,0.843,0.846
8H3X:C_8H3X:A,0.613,0.613,0.609,0.491,0.483,0.45
8E0E:A_8E0E:B,0.022,0.678,0.662,0.664,0.659,0.637
8GP6:B_8GP6:A,0.676,0.67,0.671,0.636,0.627,0.555
8Q66:A_8Q66:B,0.706,0.704,0.707,0.741,0.741,0.623
8RD3:A_8RD3:B,0.791,0.814,0.794,0.762,0.76,0.756
8WT4:A_8WT4:B,0.893,0.898,0.908,0.907,0.909,0.907
7FIW:A_7FIW:B,0.693,0.697,0.674,0.773,0.752,0.735
8CM0:BBB_8CM0:AAA,0.784,0.758,0.727,0.845,0.803,0.806
9BK6:A_9BK6:B,0.652,0.652,0.851,0.722,0.756,0.725
7YUI:A_7YUI:B,0.573,0.558,0.021,0.022,0.514,0.539
8A82:A_8A82:B,0.86,0.854,0.929,0.902,0.91,0.889
8EY4:I_8EY4:A,0.789,0.739,0.813,0.829,0.761,0.761
9DP6:B_9DP6:A,0.852,0.887,0.405,0.897,0.895,0.889
8A8F:A_8A8F:B,0.632,0.645,0.66,0.706,0.782,0.634
8DC0:A_8DC0:B,0.834,0.839,0.821,0.869,0.86,0.846
8OWS:A_8OWS:C,0.833,0.832,0.832,0.827,0.843,0.839
9IZN:B_9IZN:A,0.661,0.63,0.689,0.627,0.646,0.075
7F4P:B_7F4P:A,0.829,0.816,0.851,0.825,0.805,0.81
7PP2:A_7PP2:B,0.075,0.075,0.071,0.036,0.037,0.026
8G4K:A_8G4K:B,0.82,0.811,0.811,0.867,0.867,0.869
8QVX:A_8QVX:B,0.741,0.719,0.739,0.75,0.736,0.744
9K3E:B_9K3E:C,0.91,0.757,0.9,0.928,0.927,0.928
7ULA:B_7ULA:A,0.778,0.77,0.728,0.728,0.658,0.723
7WJQ:A_7WJQ:B,0.045,0.035,0.054,0.019,0.027,0.032
8B14:A_8B14:B,0.042,0.042,0.356,0.029,0.029,0.115
8CD0:A_8CD0:C,0.017,0.017,0.017,0.016,0.017,0.015
9CYS:I_9CYS:A,0.656,0.702,0.699,0.711,0.696,0.704
7PQ0:A_7PQ0:B,0.172,0.148,0.098,0.136,0.112,0.122
8DYE:A_8DYE:B,0.025,0.719,0.042,0.016,0.843,0.841
9ERV:A_9ERV:B,0.011,0.011,0.011,0.016,0.016,0.014
7Q1U:A_7Q1U:B,0.144,0.162,0.194,0.047,0.053,0.053
