target,Original(Templates),Interface(Templates),Non-Interface(Templates),Original(MSA),Interface(MSA),Non-Interface(MSA)
7MRS:A_7MRS:B,0.009,0.009,0.927,0.889,0.104,0.866
7VMX:A_7VMX:B,0.933,0.007,0.925,0.761,0.142,0.72
8B8V:A_8B8V:B,0.877,0.029,0.869,0.833,0.017,0.028
8C4Z:A_8C4Z:B,0.953,0.842,0.919,0.867,0.757,0.723
8F2Z:A_8F2Z:B,0.838,0.004,0.697,0.902,0.008,0.933
7ZRY:A_7ZRY:B,0.841,0.003,0.753,0.916,0.012,0.868
8G0P:A_8G0P:B,0.628,0.689,0.503,0.622,0.477,0.51
8J64:A_8J64:B,0.834,0.271,0.92,0.724,0.055,0.52
8QEL:A_8QEL:B,0.805,0.074,0.407,0.82,0.05,0.803
8ROJ:A_8ROJ:B,0.858,0.489,0.852,0.582,0.527,0.699
8X6B:B_8X6B:A,0.96,0.05,0.949,0.874,0.395,0.858
9BIY:A_9BIY:B,0.916,0.006,0.862,0.84,0.009,0.646
8GSU:A_8GSU:B,0.027,0.045,0.009,0.907,0.016,0.89
8JO3:A_8JO3:B,0.925,0.011,0.92,0.833,0.018,0.807
8BJH:A_8BJH:B,0.828,0.01,0.824,0.701,0.135,0.69
8C47:B_8C47:A,0.958,0.886,0.938,0.822,0.615,0.802
8QF4:E_8QF4:A,0.951,0.017,0.939,0.865,0.034,0.855
8S1X:A_8S1X:B,0.384,0.125,0.379,0.348,0.159,0.369
8ZPW:A_8ZPW:B,0.863,0.003,0.748,0.793,0.005,0.724
9BK5:A_9BK5:B,0.626,0.75,0.64,0.786,0.583,0.083
9DK1:A_9DK1:B,0.932,0.044,0.926,0.727,0.251,0.689
7PH1:E_7PH1:I,0.945,0.24,0.139,0.951,0.697,0.923
8EPC:A_8EPC:B,0.925,0.787,0.912,0.883,0.574,0.904
7QGS:B_7QGS:A,0.812,0.813,0.762,0.75,0.749,0.741
7U9W:A_7U9W:H,0.006,0.006,0.006,0.085,0.16,0.039
7XVO:A_7XVO:D,0.057,0.052,0.044,0.035,0.013,0.028
7YMF:A_7YMF:B,0.01,0.01,0.01,0.007,0.007,0.007
8A4A:A_8A4A:B,0.845,0.022,0.827,0.061,0.131,0.555
8BRQ:A_8BRQ:B,0.935,0.911,0.93,0.693,0.654,0.765
8FO6:A_8FO6:B,0.075,0.006,0.046,0.668,0.011,0.543
8H0N:A_8H0N:B,0.82,0.014,0.806,0.687,0.018,0.685
8HHJ:A_8HHJ:B,0.068,0.102,0.063,0.718,0.05,0.248
8JCA:A_8JCA:B,0.033,0.069,0.033,0.029,0.009,0.021
8PDC:B_8PDC:A,0.911,0.511,0.886,0.658,0.534,0.645
8PPZ:A_8PPZ:B,0.047,0.046,0.044,0.126,0.071,0.112
8POD:A_8POD:B,0.952,0.613,0.927,0.408,0.097,0.217
7U0U:A_7U0U:B,0.021,0.043,0.077,0.061,0.018,0.11
8C3K:A_8C3K:B,0.121,0.116,0.949,0.074,0.084,0.408
8DSO:B_8DSO:D,0.015,0.015,0.015,0.057,0.021,0.025
8E51:C_8E51:B,0.01,0.009,0.007,0.007,0.013,0.027
8EMZ:A_8EMZ:B,0.015,0.012,0.015,0.086,0.083,0.077
8GQE:A_8GQE:B,0.951,0.041,0.922,0.806,0.049,0.723
8HB0:A_8HB0:B,0.025,0.033,0.035,0.939,0.009,0.904
8J1I:8_8J1I:H,0.421,0.017,0.421,0.412,0.117,0.893
8OOT:I_8OOT:J,0.105,0.022,0.11,0.821,0.658,0.813
8QC1:M_8QC1:L,0.969,0.01,0.938,0.949,0.788,0.932
8SM0:C_8SM0:G,0.773,0.664,0.764,0.67,0.538,0.671
7E50:A_7E50:B,0.918,0.178,0.205,0.909,0.796,0.834
7WR6:A_7WR6:B,0.011,0.034,0.033,0.074,0.078,0.05
7YCO:A_7YCO:B,0.018,0.107,0.019,0.026,0.07,0.085
7ZHR:A_7ZHR:B,0.938,0.013,0.014,0.01,0.007,0.008
8EZS:A_8EZS:B,0.941,0.071,0.912,0.71,0.651,0.677
5ST0:A_5ST0:B,0.972,0.013,0.958,0.936,0.026,0.896
7PJH:A_7PJH:B,0.893,0.016,0.78,0.796,0.011,0.751
7EGS:A_7EGS:B,0.901,0.089,0.9,0.862,0.218,0.878
7FGM:A_7FGM:B,0.179,0.007,0.007,0.139,0.068,0.143
7QAA:A_7QAA:B,0.954,0.039,0.935,0.882,0.009,0.806
7SO0:A_7SO0:B,0.919,0.777,0.9,0.715,0.698,0.715
7VLI:A_7VLI:B,0.931,0.757,0.925,0.916,0.905,0.912
