target,Block(AFM),AFMPaired(AFM),SameIDPaired(AFM),Block(AF3),AFMPaired(AF3),SameIDPaired(AF3)
8C4Z:A_8C4Z:B,0.867,0.867,0.864,0.906,0.898,0.891
8X6B:B_8X6B:A,0.874,0.894,0.9,0.853,0.859,0.843
8EPC:A_8EPC:B,0.883,0.924,0.923,0.927,0.896,0.919
7YMF:A_7YMF:B,0.007,0.007,0.007,0.01,0.01,0.01
8BRQ:A_8BRQ:B,0.693,0.689,0.702,0.696,0.726,0.716
8PDC:B_8PDC:A,0.658,0.659,0.661,0.697,0.696,0.695
8E51:C_8E51:B,0.007,0.01,0.008,0.816,0.793,0.787
8J1I:8_8J1I:H,0.412,0.411,0.949,0.892,0.873,0.9
8QC1:M_8QC1:L,0.949,0.946,0.933,0.949,0.953,0.954
8EZS:A_8EZS:B,0.71,0.709,0.713,0.68,0.682,0.683
7QAA:A_7QAA:B,0.882,0.873,0.879,0.907,0.912,0.913
7VLI:A_7VLI:B,0.916,0.933,0.919,0.92,0.916,0.916
8U45:A_8U45:C,0.939,0.939,0.942,0.937,0.94,0.94
8CK4:A_8CK4:B,0.716,0.76,0.777,0.746,0.735,0.745
8OT0:A_8OT0:B,0.835,0.807,0.889,0.92,0.887,0.904
9BIV:A_9BIV:B,0.899,0.909,0.884,0.929,0.925,0.921
8WFR:A_8WFR:B,0.951,0.95,0.947,0.973,0.973,0.971
8WZO:A_8WZO:B,0.858,0.842,0.855,0.73,0.731,0.734
8GXE:A_8GXE:B,0.005,0.018,0.025,0.012,0.012,0.012
7YJC:A_7YJC:B,0.897,0.901,0.89,0.945,0.944,0.945
7Z3W:H_7Z3W:L,0.816,0.824,0.245,0.804,0.802,0.805
8T0O:L_8T0O:H,0.72,0.711,0.714,0.741,0.725,0.735
8OJT:L_8OJT:H,0.38,0.363,0.37,0.365,0.363,0.364
7PKL:H_7PKL:L,0.335,0.393,0.5,0.336,0.319,0.318
9FW2:A_9FW2:B,0.883,0.861,0.875,0.933,0.942,0.943
7UCC:F_7UCC:J,0.676,0.675,0.655,0.503,0.496,0.497
7V7W:A_7V7W:B,0.684,0.667,0.676,0.668,0.657,0.656
7WZ6:A_7WZ6:B,0.941,0.94,0.942,0.928,0.928,0.927
8G3K:A_8G3K:B,0.011,0.012,0.011,0.012,0.097,0.098
7ZDF:C_7ZDF:D,0.573,0.654,0.577,0.785,0.798,0.718
8FCC:A_8FCC:B,0.142,0.141,0.129,0.763,0.603,0.8
8RGI:A_8RGI:B,0.686,0.708,0.718,0.782,0.796,0.512
9DLW:B_9DLW:A,0.007,0.007,0.007,0.007,0.008,0.006
7RYL:C_7RYL:D,0.823,0.793,0.817,0.838,0.839,0.841
7XKY:B_7XKY:A,0.813,0.805,0.828,0.925,0.906,0.904
8B4O:B_8B4O:A,0.732,0.73,0.666,0.735,0.656,0.57
8GP6:B_8GP6:A,0.676,0.67,0.673,0.636,0.627,0.642
7QBO:A_7QBO:P,0.893,0.891,0.896,0.906,0.87,0.907
7V4Y:B_7V4Y:A,0.847,0.846,0.841,0.856,0.864,0.868
7MSR:A_7MSR:B,0.761,0.744,0.781,0.777,0.771,0.841
9GIB:A_9GIB:B,0.848,0.861,0.845,0.78,0.776,0.78
8PW8:A_8PW8:B,0.858,0.881,0.873,0.937,0.937,0.928
9AY7:A_9AY7:B,0.803,0.814,0.695,0.791,0.827,0.788
9FW3:A_9FW3:B,0.449,0.454,0.465,0.424,0.409,0.406
7WIV:A_7WIV:B,0.609,0.598,0.594,0.664,0.69,0.698
7S7Q:A_7S7Q:B,0.736,0.718,0.732,0.757,0.756,0.755
7SH4:A_7SH4:B,0.595,0.603,0.601,0.651,0.635,0.644
7OV9:A_7OV9:C,0.71,0.713,0.722,0.731,0.734,0.753
7XDD:A_7XDD:B,0.661,0.678,0.835,0.782,0.795,0.805
7XJP:A_7XJP:B,0.631,0.641,0.601,0.383,0.379,0.381
8BJ8:A_8BJ8:B,0.929,0.93,0.924,0.943,0.944,0.944
8FHK:D_8FHK:C,0.373,0.388,0.414,0.329,0.319,0.307
7LA5:A_7LA5:B,0.84,0.83,0.823,0.843,0.828,0.844
7N0E:B_7N0E:A,0.615,0.613,0.656,0.631,0.619,0.611
Mean,0.6669,0.6705,0.6735,0.7109,0.7051,0.7036
