target,Block MSA+temeplates(AFM),Block MSA+temeplates(AF3)
7VA2:A_7VA2:B,0.883,0.855
8IOA:A_8IOA:B,0.944,0.847
8GRT:A_8GRT:B,0.805,0.909
7X4B:A_7X4B:B,0.315,0.311
8FIR:A_8FIR:B,0.923,0.95
9JPL:A_9JPL:B,0.768,0.518
8Q5N:A_8Q5N:B,0.266,0.237
9F47:A_9F47:B,0.912,0.875
8QST:A_8QST:B,0.476,0.46
8U0K:A_8U0K:B,0.957,0.921
7EPQ:A_7EPQ:B,0.649,0.668
8R2R:A_8R2R:B,0.808,0.677
8E8W:A_8E8W:B,0.949,0.954
8HKR:A_8HKR:B,0.954,0.943
8E7Q:A_8E7Q:B,0.945,0.974
7YWG:A_7YWG:B,0.892,0.834
7RMN:A_7RMN:B,0.899,0.951
8P4G:A_8P4G:B,0.06,0.956
9INK:A_9INK:B,0.978,0.971
8GYG:A_8GYG:B,0.974,0.941
8VF6:A_8VF6:B,0.879,0.901
8IMW:A_8IMW:B,0.732,0.678
8EQZ:A_8EQZ:B,0.841,0.829
8RXO:A_8RXO:B,0.61,0.474
7KHM:A_7KHM:B,0.009,0.18
8GUM:A_8GUM:B,0.631,0.64
7EJ3:A_7EJ3:B,0.969,0.969
8TXL:A_8TXL:B,0.481,0.436
8AM3:AAA_8AM3:BBB,0.944,0.938
8H7C:A_8H7C:B,0.934,0.87
7MX6:AAA_7MX6:BBB,0.965,0.962
8J2L:A_8J2L:B,0.868,0.775
7FDD:A_7FDD:B,0.875,0.872
8B5E:A_8B5E:B,0.008,0.009
8HZ5:A_8HZ5:B,0.938,0.914
7Y62:A_7Y62:B,0.618,0.638
7PR2:A_7PR2:B,0.013,0.011
7RBP:A_7RBP:B,0.95,0.842
8BRY:A_8BRY:B,0.947,0.929
8UZD:A_8UZD:B,0.89,0.883
8Z5C:A_8Z5C:B,0.923,0.927
7WGR:A_7WGR:B,0.706,0.707
7EYU:A_7EYU:B,0.867,0.799
8IMU:A_8IMU:B,0.969,0.945
8WMY:A_8WMY:B,0.963,0.952
8JML:A_8JML:B,0.863,0.023
7Y3W:A_7Y3W:B,0.983,0.92
8KE7:A_8KE7:B,0.875,0.848
8IOI:A_8IOI:B,0.778,0.846
7W0W:A_7W0W:B,0.642,0.009
7ZM5:A_7ZM5:B,0.924,0.946
8VCK:A_8VCK:B,0.924,0.942
8J2W:A_8J2W:B,0.95,0.698
7UX6:A_7UX6:B,0.909,0.876
7WAA:A_7WAA:B,0.007,0.007
8ES5:A_8ES5:B,0.944,0.79
8GAD:A_8GAD:B,0.882,0.431
7UXR:A_7UXR:B,0.948,0.898
7XRH:A_7XRH:B,0.953,0.976
7TA9:A_7TA9:B,0.88,0.925
8E7C:A_8E7C:B,0.751,0.746
8A6X:A_8A6X:B,0.623,0.535
8K7P:A_8K7P:B,0.019,0.023
7ZPN:A_7ZPN:B,0.161,0.928
8D3E:A_8D3E:B,0.941,0.957
8OO2:A_8OO2:B,0.752,0.528
7XWG:A_7XWG:B,0.5,0.573
8GY8:A_8GY8:B,0.065,0.627
7ZRN:A_7ZRN:B,0.937,0.943
8BIC:A_8BIC:B,0.845,0.765
8R2H:A_8R2H:B,0.947,0.91
8R2X:A_8R2X:B,0.957,0.889
7WGU:A_7WGU:B,0.013,0.87
7XYV:A_7XYV:B,0.314,0.851
8BEX:A_8BEX:B,0.011,0.04
8ANT:A_8ANT:B,0.764,0.687
8P7I:A_8P7I:B,0.951,0.975
7F4C:A_7F4C:B,0.91,0.921
8ILJ:A_8ILJ:B,0.961,0.959
8HN0:A_8HN0:B,0.901,0.86
7FCT:A_7FCT:B,0.959,0.962
8R2T:A_8R2T:B,0.013,0.009
8BGW:A_8BGW:B,0.915,0.906
7E3S:A_7E3S:B,0.866,0.836
7FCZ:A_7FCZ:B,0.646,0.602
7TL5:A_7TL5:B,0.76,0.756
7PND:A_7PND:B,0.008,0.009
7QUG:A_7QUG:B,0.923,0.9
8ZLH:A_8ZLH:B,0.014,0.039
9BR6:A_9BR6:B,0.962,0.936
8HT4:A_8HT4:B,0.966,0.965
8VRU:A_8VRU:B,0.934,0.953
7F91:A_7F91:B,0.923,0.907
8X71:A_8X71:B,0.737,0.956
7AAN:A_7AAN:B,0.931,0.877
8YE5:A_8YE5:B,0.047,0.023
7YQO:A_7YQO:B,0.901,0.865
9AXG:A_9AXG:B,0.89,0.778
9J4X:A_9J4X:B,0.85,0.871
7EG5:A_7EG5:B,0.952,0.956
8X2O:A_8X2O:B,0.932,0.942
7QEO:A_7QEO:B,0.847,0.893
7VQK:A_7VQK:B,0.969,0.966
7TDQ:A_7TDQ:B,0.794,0.748
7EIW:A_7EIW:B,0.888,0.882
7ER8:A_7ER8:B,0.011,0.006
8AHF:A_8AHF:B,0.919,0.906
7UXS:A_7UXS:B,0.921,0.806
8B1N:A_8B1N:B,0.412,0.418
8CIW:A_8CIW:B,0.975,0.985
8A2N:A_8A2N:B,0.939,0.935
8R07:A_8R07:B,0.02,0.014
7VUA:A_7VUA:B,0.945,0.957
8R36:A_8R36:B,0.902,0.483
8DOQ:A_8DOQ:B,0.898,0.867
7T9G:Y_7T9G:A,0.963,0.949
8EPZ:A_8EPZ:B,0.947,0.954
8R29:A_8R29:B,0.853,0.764
7SEL:A_7SEL:B,0.451,0.459
7VID:A_7VID:B,0.887,0.902
8RFK:A_8RFK:B,0.005,0.972
8YBF:A_8YBF:B,0.648,0.782
9GIE:A_9GIE:B,0.738,0.673
8WD6:A_8WD6:B,0.84,0.853
8DHK:A_8DHK:B,0.004,0.004
8QPL:A_8QPL:B,0.016,0.024
7V3D:A_7V3D:B,0.947,0.941
7XGT:A_7XGT:B,0.905,0.899
8XIY:A_8XIY:B,0.975,0.976
8F8F:A_8F8F:B,0.937,0.947
8QM3:A_8QM3:B,0.014,0.901
7Y1H:A_7Y1H:B,0.931,0.935
7ZS8:A_7ZS8:B,0.878,0.875
7YEO:A_7YEO:B,0.009,0.009
8WOU:A_8WOU:B,0.945,0.941
8AI8:A_8AI8:B,0.867,0.843
8RKR:A_8RKR:B,0.95,0.97
8GJX:A_8GJX:B,0.967,0.969
8Z1R:A_8Z1R:B,0.006,0.782
8S9W:A_8S9W:B,0.957,0.892
8A90:A_8A90:B,0.959,0.963
8GYZ:A_8GYZ:B,0.607,0.564
7XZP:A_7XZP:B,0.972,0.969
7WRM:A_7WRM:B,0.941,0.633
7T91:A_7T91:B,0.039,0.42
5S9S:A_5S9S:B,0.966,0.968
7REG:A_7REG:B,0.957,0.974
8DL5:A_8DL5:B,0.946,0.944
8BK6:A_8BK6:B,0.057,0.046
8J9T:A_8J9T:B,0.845,0.843
8AU8:A_8AU8:B,0.959,0.948
8EVX:A_8EVX:B,0.919,0.947
7TOC:A_7TOC:B,0.96,0.924
9FYB:A_9FYB:B,0.007,0.007
8AUZ:A_8AUZ:B,0.031,0.034
8JQQ:A_8JQQ:B,0.967,0.969
8DQ5:A_8DQ5:B,0.942,0.814
8GWR:A_8GWR:B,0.228,0.248
7WH0:A_7WH0:B,0.939,0.908
7QCP:A_7QCP:B,0.788,0.84
8R2E:A_8R2E:B,0.94,0.899
7N7V:A_7N7V:B,0.971,0.933
7MBH:A_7MBH:B,0.956,0.968
7UQL:A_7UQL:B,0.775,0.761
8IYI:A_8IYI:B,0.969,0.956
7F13:A_7F13:B,0.62,0.609
8P8F:A_8P8F:B,0.928,0.932
7W81:A_7W81:B,0.012,0.332
7Z2V:A_7Z2V:B,0.964,0.977
7XXO:A_7XXO:B,0.914,0.859
7YOP:A_7YOP:B,0.012,0.011
7AN9:A_7AN9:B,0.949,0.924
8I4Q:A_8I4Q:B,0.954,0.911
7LV1:A_7LV1:C,0.384,0.503
7R7M:A_7R7M:B,0.97,0.968
8HF4:A_8HF4:B,0.773,0.762
7ZM6:A_7ZM6:B,0.909,0.781
8IYF:A_8IYF:B,0.972,0.955
8HYN:A_8HYN:B,0.036,0.039
7TVM:A_7TVM:B,0.993,0.994
8GPW:A_8GPW:B,0.033,0.012
8DQ8:A_8DQ8:B,0.981,0.983
8WQP:A_8WQP:B,0.021,0.032
7PVW:A_7PVW:B,0.2,0.194
7YKV:A_7YKV:B,0.937,0.922
8VLL:A_8VLL:B,0.898,0.805
7UBK:A_7UBK:B,0.015,0.014
8GYD:A_8GYD:B,0.943,0.963
8IS2:A_8IS2:B,0.706,0.7
7O4D:A_7O4D:B,0.95,0.987
8AHR:A_8AHR:B,0.885,0.86
8Q68:A_8Q68:B,0.013,0.005
8OVP:A_8OVP:B,0.007,0.015
8I80:A_8I80:B,0.045,0.025
8P0L:A_8P0L:B,0.153,0.16
7ZC3:A_7ZC3:B,0.96,0.957
7VUB:A_7VUB:B,0.951,0.964
8OTV:A_8OTV:B,0.908,0.809
9CGO:A_9CGO:B,0.745,0.683
7X7W:A_7X7W:B,0.967,0.96
8SKY:A_8SKY:B,0.928,0.942
