target,Original(Templates),Interface(Templates),Non-Interface(Templates),Original(MSA),Interface(MSA),Non-Interface(MSA)
7VA2:A_7VA2:B,0.869,0.376,0.852,0.875,0.053,0.85
8IOA:A_8IOA:B,0.916,0.563,0.913,0.823,0.417,0.782
8GRT:A_8GRT:B,0.959,0.01,0.918,0.893,0.046,0.797
7X4B:A_7X4B:B,0.553,0.041,0.3,0.311,0.309,0.283
8FIR:A_8FIR:B,0.936,0.243,0.697,0.922,0.021,0.844
9JPL:A_9JPL:B,0.734,0.066,0.711,0.523,0.015,0.658
8Q5N:A_8Q5N:B,0.041,0.024,0.032,0.246,0.009,0.215
9F47:A_9F47:B,0.064,0.394,0.092,0.681,0.203,0.087
8QST:A_8QST:B,0.558,0.509,0.554,0.474,0.405,0.485
8U0K:A_8U0K:B,0.95,0.029,0.883,0.921,0.082,0.851
7EPQ:A_7EPQ:B,0.925,0.03,0.923,0.534,0.09,0.441
8R2R:A_8R2R:B,0.786,0.005,0.005,0.626,0.011,0.639
8E8W:A_8E8W:B,0.835,0.019,0.903,0.938,0.01,0.905
8HKR:A_8HKR:B,0.937,0.011,0.91,0.912,0.01,0.842
8E7Q:A_8E7Q:B,0.966,0.869,0.876,0.965,0.03,0.684
7YWG:A_7YWG:B,0.839,0.057,0.899,0.818,0.076,0.869
7RMN:A_7RMN:B,0.964,0.034,0.935,0.909,0.025,0.854
8P4G:A_8P4G:B,0.943,0.032,0.781,0.826,0.013,0.041
9INK:A_9INK:B,0.912,0.004,0.89,0.904,0.003,0.863
8GYG:A_8GYG:B,0.857,0.418,0.779,0.857,0.009,0.79
8VF6:A_8VF6:B,0.776,0.296,0.722,0.868,0.011,0.836
8IMW:A_8IMW:B,0.743,0.045,0.73,0.62,0.027,0.674
8EQZ:A_8EQZ:B,0.801,0.005,0.835,0.837,0.005,0.55
8RXO:A_8RXO:B,0.438,0.035,0.445,0.026,0.029,0.026
7KHM:A_7KHM:B,0.056,0.011,0.012,0.213,0.195,0.203
