target,Block MSA(AFM),AF3-predicted bound monomer(AFM),Experimentally-determined bound monomer(PDB)(AFM),AF3-predicted unbound monomer(AFM),Block MSA(AF3),AF3-predicted bound monomer(AF3),Experimentally-determined bound monomer(PDB)(AF3),AF3-predicted unbound monomer(AF3)
7MRS:A_7MRS:B,0.889,0.851,0.009,0.856,0.859,0.834,0.95,0.881
7VMX:A_7VMX:B,0.761,0.763,0.933,0.12,0.788,0.795,0.903,0.187
8B8V:A_8B8V:B,0.833,0.868,0.877,0.043,0.865,0.855,0.926,0.04
8C4Z:A_8C4Z:B,0.867,0.897,0.953,0.865,0.906,0.886,0.936,0.9
8F2Z:A_8F2Z:B,0.902,0.871,0.838,0.159,0.85,0.832,0.892,0.522
7ZRY:A_7ZRY:B,0.916,0.927,0.841,0.221,0.941,0.929,0.77,0.439
8G0P:A_8G0P:B,0.622,0.647,0.628,0.727,0.626,0.637,0.608,0.71
8J64:A_8J64:B,0.724,0.82,0.834,0.222,0.827,0.231,0.803,0.179
8QEL:A_8QEL:B,0.82,0.671,0.805,0.418,0.636,0.621,0.842,0.187
8ROJ:A_8ROJ:B,0.582,0.686,0.858,0.217,0.698,0.707,0.807,0.604
8X6B:B_8X6B:A,0.874,0.855,0.96,0.851,0.853,0.835,0.965,0.861
9BIY:A_9BIY:B,0.84,0.808,0.916,0.829,0.809,0.793,0.839,0.825
8GSU:A_8GSU:B,0.907,0.024,0.027,0.014,0.926,0.933,0.968,0.919
8JO3:A_8JO3:B,0.833,0.911,0.925,0.703,0.921,0.924,0.954,0.862
8BJH:A_8BJH:B,0.701,0.674,0.828,0.009,0.682,0.687,0.846,0.139
8C47:B_8C47:A,0.822,0.812,0.958,0.09,0.812,0.818,0.97,0.815
8QF4:E_8QF4:A,0.865,0.894,0.951,0.506,0.901,0.911,0.939,0.871
8S1X:A_8S1X:B,0.348,0.173,0.384,0.298,0.076,0.355,0.32,0.303
8ZPW:A_8ZPW:B,0.793,0.807,0.863,0.373,0.812,0.819,0.915,0.717
9BK5:A_9BK5:B,0.786,0.774,0.626,0.617,0.781,0.783,0.82,0.594
9DK1:A_9DK1:B,0.727,0.745,0.932,0.412,0.771,0.762,0.909,0.592
7PH1:E_7PH1:I,0.951,0.145,0.945,0.944,0.98,0.356,0.123,0.087
8EPC:A_8EPC:B,0.883,0.945,0.925,0.601,0.927,0.951,0.904,0.524
