target,Full-Chain(unbound),Interface(unbound),Non-interface(unbound),Full-Chain(bound),Interface(bound),Non-interface(bound)
7MRS:A_7MRS:B,"[0.841, 0.9546]","[0.8622, 0.7844]","[0.811, 0.9092]","[0.9288, 0.9537]","[0.9472, 0.8529]","[0.9163, 0.9089]"
7VMX:A_7VMX:B,"[0.8894, 0.5373]","[0.7587, 0.6667]","[0.9035, 0.6135]","[0.9543, 0.971]","[0.5147, 0.9305]","[0.9354, 0.9711]"
8B8V:A_8B8V:B,"[0.9565, 0.5442]","[0.8941, 0.5138]",[0.9416],"[0.9901, 0.7545]","[0.9813, 0.7368]",[0.9828]
8C4Z:A_8C4Z:B,"[0.8595, 0.9958]","[0.7957, 0.9878]","[0.6922, 0.9933]","[0.9137, 0.9939]","[0.9419, 0.9906]","[0.7505, 0.9897]"
8F2Z:A_8F2Z:B,"[0.9881, 0.4738]","[0.9286, 0.447]","[0.9935, 0.8907]","[0.9807, 0.9393]","[0.9589, 0.9143]","[0.9884, 0.9198]"
7ZRY:A_7ZRY:B,"[0.9761, 0.4819]","[0.9486, 0.4235]","[0.9897, 0.8961]","[0.9941, 0.9816]","[0.9864, 0.978]","[0.9934, 0.901]"
8G0P:A_8G0P:B,"[0.8274, 0.6247]","[0.8061, 0.5981]",[0.7098],"[0.83, 0.731]","[0.8116, 0.6771]",[0.8128]
8J64:A_8J64:B,"[0.9492, 0.6935]","[0.8691, 0.6447]","[0.9395, 0.3376]","[0.9576, 0.899]","[0.8973, 0.8773]","[0.9465, 0.4038]"
8QEL:A_8QEL:B,"[0.9811, 0.9391]","[0.6252, 0.4586]","[0.9794, 0.9381]","[0.9849, 0.9473]","[0.701, 0.6514]","[0.9846, 0.9437]"
8ROJ:A_8ROJ:B,"[0.8027, 0.929]","[0.5649, 0.9202]","[0.9576, 0.6781]","[0.9672, 0.9386]","[0.9011, 0.933]","[0.9759, 0.8409]"
8X6B:B_8X6B:A,"[0.9579, 0.9611]","[0.9187, 0.9622]","[0.9257, 0.9435]","[0.9376, 0.9551]","[0.9164, 0.9445]","[0.8704, 0.9393]"
9BIY:A_9BIY:B,"[0.9256, 0.9606]","[0.6686, 0.914]","[0.9221, 0.9276]","[0.9023, 0.9483]","[0.7335, 0.9064]","[0.9005, 0.9137]"
8GSU:A_8GSU:B,"[0.9605, 0.9424]","[0.8679, 0.8842]","[0.9441, 0.9048]","[0.9819, 0.9785]","[0.9366, 0.9685]","[0.9725, 0.9276]"
8JO3:A_8JO3:B,"[0.9694, 0.9883]","[0.8314, 0.9477]","[0.9731, 0.985]","[0.9953, 0.996]","[0.9818, 0.9816]","[0.9934, 0.9945]"
8BJH:A_8BJH:B,"[0.9832, 0.6577]","[0.9722, 0.3349]","[0.9696, 0.7333]","[0.9865, 0.9265]","[0.9796, 0.8583]","[0.9756, 0.9194]"
8C47:B_8C47:A,"[0.8757, 0.9859]","[0.6672, 0.8859]","[0.9584, 0.9809]","[0.9706, 0.9886]","[0.8623, 0.9444]","[0.9806, 0.9836]"
8QF4:E_8QF4:A,"[0.965, 0.8754]","[0.7063, 0.8122]","[0.9721, 0.4481]","[0.9839, 0.9342]","[0.9263, 0.9134]","[0.971, 0.4833]"
8S1X:A_8S1X:B,"[0.9872, 0.939]","[0.837, 0.6212]","[0.9842, 0.7636]","[0.9868, 0.8402]","[0.8703, 0.6028]","[0.9815, 0.6774]"
8ZPW:A_8ZPW:B,"[0.9871, 0.8176]","[0.9511, 0.6263]","[0.9871, 0.8179]","[0.9797, 0.9873]","[0.3208, 0.9605]","[0.9769, 0.9809]"
9BK5:A_9BK5:B,"[0.9478, 0.8477]","[0.9114, 0.4454]","[0.7553, 0.8096]","[0.9338, 0.9023]","[0.4721, 0.6717]","[0.711, 0.8211]"
9DK1:A_9DK1:B,"[0.974, 0.935]","[0.8369, 0.7276]","[0.9804, 0.9327]","[0.9858, 0.9613]","[0.8947, 0.8789]","[0.9865, 0.9518]"
7PH1:E_7PH1:I,"[0.9943, 0.9583]","[0.9717, 0.8934]","[0.9907, 0.9065]","[0.9984, 0.971]","[0.9913, 0.9532]","[0.9974, 0.9332]"
8EPC:A_8EPC:B,"[0.7429, 0.9805]","[0.1275, 0.936]","[0.2531, 0.9711]","[0.956, 0.9872]","[0.7699, 0.9585]","[0.7212, 0.981]"
7QGS:B_7QGS:A,"[0.2381, 0.9218]","[0.2429, 0.9324]",[0.6261],"[0.8166, 0.9414]","[0.816, 0.9492]",[0.559]
7U9W:A_7U9W:H,"[0.9313, 0.9513]","[0.3382, 0.6202]","[0.9585, 0.9573]","[0.9491, 0.9768]","[0.3575, 0.7882]","[0.9657, 0.9739]"
7XVO:A_7XVO:D,"[0.9482, 0.9753]","[0.7571, 0.9366]","[0.9496, 0.8871]","[0.9668, 0.9722]","[0.9554, 0.9565]","[0.9591, 0.8273]"
7YMF:A_7YMF:B,"[0.9699, 0.9588]","[0.6359, 0.8931]","[0.9682, 0.9329]","[0.9763, 0.96]","[0.6064, 0.8725]","[0.9761, 0.9361]"
8A4A:A_8A4A:B,"[0.9224, 0.9094]","[0.7747, 0.3739]","[0.9455, 0.9345]","[0.9504, 0.8963]","[0.8361, 0.5549]","[0.9463, 0.938]"
8BRQ:A_8BRQ:B,"[0.8491, 0.9849]","[0.8066, 0.9601]",[0.9805],"[0.9649, 0.9941]","[0.9759, 0.9922]",[0.9896]
8FO6:A_8FO6:B,"[0.9699, 0.7364]","[0.8436, 0.8525]","[0.9674, 0.5985]","[0.9408, 0.7611]","[0.8418, 0.9488]","[0.9429, 0.8882]"
8H0N:A_8H0N:B,"[0.9836, 0.9263]","[0.9714, 0.4788]","[0.978, 0.9486]","[0.9858, 0.9509]","[0.9841, 0.3342]","[0.9808, 0.9565]"
8HHJ:A_8HHJ:B,"[0.9733, 0.936]","[0.9387, 0.8376]","[0.939, 0.9446]","[0.9849, 0.9481]","[0.976, 0.879]","[0.9594, 0.9586]"
8JCA:A_8JCA:B,"[0.992, 0.9542]","[0.8665, 0.822]","[0.9915, 0.9247]","[0.9829, 0.9549]","[0.919, 0.8131]","[0.9762, 0.9267]"
8PDC:B_8PDC:A,"[0.9815, 0.9753]","[0.9462, 0.8461]","[0.951, 0.9775]","[0.9838, 0.9692]","[0.9791, 0.8385]","[0.9408, 0.9666]"
8PPZ:A_8PPZ:B,"[0.9859, 0.9506]","[0.6709, 0.866]","[0.985, 0.9028]","[0.9846, 0.9716]","[0.5081, 0.9249]","[0.99, 0.9492]"
8POD:A_8POD:B,"[0.8996, 0.9922]","[0.278, 0.9496]","[0.955, 0.9812]","[0.9725, 0.9943]","[0.9322, 0.9666]","[0.9709, 0.984]"
7U0U:A_7U0U:B,"[0.9502, 0.9863]","[0.6861, 0.6016]","[0.9662, 0.9803]","[0.9578, 0.9861]","[0.2913, 0.5497]","[0.9639, 0.983]"
8C3K:A_8C3K:B,"[0.9156, 0.9502]","[0.4883, 0.8181]","[0.824, 0.9318]","[0.9403, 0.9444]","[0.645, 0.8602]","[0.7871, 0.9171]"
8DSO:B_8DSO:D,"[0.9471, 0.9859]","[0.2125, 0.5964]","[0.9595, 0.9736]","[0.9624, 0.9884]","[0.1097, 0.6914]","[0.9746, 0.9792]"
8E51:C_8E51:B,"[0.824, 0.841]","[0.8326, 0.7063]","[0.7905, 0.8279]","[0.894, 0.9782]","[0.8884, 0.9552]","[0.864, 0.9693]"
8EMZ:A_8EMZ:B,"[0.9703, 0.9411]","[0.6306, 0.5573]","[0.9688, 0.9786]","[0.9677, 0.9248]","[0.2266, 0.5567]","[0.9701, 0.9706]"
8GQE:A_8GQE:B,"[0.9681, 0.9729]","[0.4472, 0.3789]","[0.9553, 0.9939]","[0.9736, 0.9941]","[0.5336, 0.9627]","[0.9551, 0.9948]"
8HB0:A_8HB0:B,"[0.9848, 0.8445]","[0.9703, 0.8051]","[0.9833, 0.5557]","[0.9032, 0.9196]","[0.9335, 0.8943]","[0.8954, 0.7032]"
8J1I:8_8J1I:H,"[0.9615, 0.9263]","[0.5858, 0.7573]","[0.919, 0.8642]","[0.9678, 0.9595]","[0.6305, 0.6955]","[0.9345, 0.9195]"
8OOT:I_8OOT:J,"[0.5461, 0.9895]","[0.5126, 0.9737]","[0.7465, 0.9823]","[0.9613, 0.9904]","[0.9584, 0.9719]","[0.8106, 0.9863]"
8QC1:M_8QC1:L,"[0.9962, 0.9789]","[0.9859, 0.7942]","[0.994, 0.9974]","[0.996, 0.9977]","[0.9898, 0.9838]","[0.9933, 0.9975]"
8SM0:C_8SM0:G,"[0.9581, 0.9746]","[0.8932, 0.9288]","[0.9002, 0.965]","[0.9798, 0.9429]","[0.9466, 0.9457]","[0.9582, 0.922]"
